city,district,size_m2,rooms,year_built,rent_chf,floor,has_balcony,distance_to_station_m
Lugano,Cassarate,110,4.0,2001,2220,5,False,936
Zürich,Kreis 1,54,2.0,1970,1530,9,False,2500
Lugano,Molino Nuovo,56,2.5,1956,920,5,False,1000
Basel,Altstadt,82,3.0,1964,1900,4,True,572
Zürich,Kreis 8,100,3.5,1929,2680,4,True,542
Basel,Altstadt,95,4.0,1948,1880,3,True,350
Zürich,Kreis 5,112,4.0,2009,3720,8,False,497
St. Gallen,St. Fiden,121,5.0,1985,1850,4,False,313
Bern,Breitenrain,67,3.0,1967,1470,4,False,719
Winterthur,Töss,72,3.0,1945,1490,1,True,903
Zürich,Kreis 5,60,2.5,1972,2370,10,True,727
Genf,Champel,82,3.5,1954,2130,3,False,615
Zürich,Kreis 1,79,3.0,1948,1890,3,False,652
Zürich,Kreis 6,81,3.5,1961,2320,8,False,288
Zürich,Kreis 8,66,2.5,1903,1590,4,True,168
Bern,Breitenrain,93,4.0,1942,2170,10,False,370
Lugano,Molino Nuovo,83,3.0,1979,1540,2,False,457
Zürich,Kreis 4,84,3.0,2010,3330,3,True,445
Lugano,Cassarate,45,1.5,1937,660,4,False,558
Bern,Länggasse,68,3.0,1983,1410,6,False,827
Lausanne,Chailly,99,3.5,2005,2840,6,False,316
Basel,Gundeldingen,79,3.5,1958,1750,3,False,705
Genf,Servette,99,3.5,1988,3500,2,True,260
Genf,Servette,104,4.0,1986,2450,3,True,582
Lugano,Besso,119,4.5,1961,2560,3,False,459
Genf,Champel,75,2.5,1987,2520,2,True,405
Lugano,Besso,86,3.5,2015,1580,6,False,392
Winterthur,Töss,126,5.0,1975,2240,5,False,517
Basel,Bachletten,86,3.5,1995,2160,6,False,327
St. Gallen,Centrum,55,2.0,1976,1000,6,False,1273
Lausanne,Chailly,95,4.0,1993,2420,4,True,752
Zürich,Kreis 4,54,2.0,1966,1780,9,True,442
Lausanne,Sous-Gare,65,2.5,1986,1880,8,True,646
Zürich,Kreis 3,119,4.5,1976,3580,4,False,277
Lugano,Molino Nuovo,77,3.0,1961,1650,5,False,446
Zürich,Kreis 1,64,3.0,1956,1830,3,False,707
Winterthur,Töss,103,3.5,1953,2280,3,False,896
Bern,Länggasse,141,5.5,1929,2660,6,True,1381
Lausanne,Flon,64,2.0,1991,1950,5,False,467
Lugano,Cassarate,69,2.5,1972,1790,3,True,439
Winterthur,Töss,42,2.0,1927,900,9,True,1174
Lausanne,Chailly,133,5.0,1969,2530,3,True,683
Genf,Eaux-Vives,69,3.0,1973,2480,2,True,442
Zürich,Kreis 1,105,4.5,1991,3010,5,False,164
Genf,Servette,48,1.5,1984,1600,3,True,677
Zürich,Kreis 7,76,3.0,1982,1980,4,False,674
Basel,Altstadt,116,4.5,1963,2940,2,True,470
Basel,Gundeldingen,63,2.5,1989,1630,4,False,519
Basel,Kleinbasel,67,2.5,1997,1580,2,False,367
Winterthur,Wülflingen,117,5.0,1994,2470,2,True,175
St. Gallen,Bruggen,65,2.5,1992,1230,8,False,472
St. Gallen,Centrum,80,3.0,2002,1900,8,True,261
Lausanne,Sous-Gare,119,5.0,1995,2840,5,False,544
Lugano,Besso,117,4.5,1963,2100,2,False,317
Winterthur,Wülflingen,90,3.5,1983,2200,7,False,943
Basel,Bachletten,50,2.0,2016,1630,5,True,1152
Bern,Kirchenfeld,77,3.5,1974,2200,9,True,532
Bern,Mattenhof,116,4.5,2004,2940,8,True,275
Bern,Mattenhof,83,3.0,1986,1850,1,False,267
Winterthur,Altstadt,103,4.0,1992,2270,2,True,960
Bern,Mattenhof,69,2.5,1990,1740,4,True,472
Lugano,Centro,158,6.5,1925,2890,6,False,110
Lausanne,Sévelin,46,2.0,1969,1450,6,True,345
Zürich,Kreis 6,86,3.5,1967,2080,4,True,678
Basel,Altstadt,129,5.5,1931,1980,4,False,930
Basel,Bachletten,73,2.5,1994,1950,2,True,1031
Lugano,Molino Nuovo,58,2.0,1989,1310,4,False,1012
Basel,Kleinbasel,83,3.0,1979,1840,3,False,720
Basel,St. Johann,80,3.5,1972,1810,4,False,661
Genf,Servette,69,3.0,1998,2170,9,False,892
Basel,St. Johann,105,4.0,1916,2000,5,False,663
Lausanne,Flon,55,2.0,1990,1590,1,False,1266
Zürich,Kreis 8,82,3.0,1940,2260,11,True,234
Bern,Bümpliz,62,3.0,1930,1480,5,True,560
Bern,Bümpliz,63,2.5,1976,1300,2,False,918
Lugano,Cassarate,48,2.0,2010,1050,2,True,2214
Lugano,Centro,73,3.0,1936,1560,7,True,167
Zürich,Kreis 1,74,3.5,1967,2500,3,False,542
Zürich,Kreis 7,99,4.5,1928,2750,6,False,529
Zürich,Kreis 8,114,4.5,1951,2740,2,False,321
Zürich,Kreis 1,88,3.5,2018,2790,2,True,2088
Lugano,Cassarate,76,3.5,1951,1810,3,True,388
Winterthur,Oberwinterthur,94,3.5,1996,1910,0,False,588
St. Gallen,Riethüsli,87,3.5,2008,1420,5,False,321
Lausanne,Sous-Gare,107,4.0,1920,2160,6,True,431
Zürich,Kreis 4,82,3.0,1952,2420,3,False,446
Zürich,Kreis 4,107,4.5,2006,3270,5,True,606
Genf,Champel,152,6.5,2001,4020,4,True,498
Genf,Carouge,80,3.5,1973,2270,3,True,239
Basel,Gundeldingen,63,2.5,1976,1700,3,False,184
Zürich,Kreis 6,102,4.0,2000,3230,9,True,733
Basel,Altstadt,51,2.0,1994,1460,1,True,877
Basel,St. Johann,128,5.5,1950,2690,6,True,695
Bern,Länggasse,135,6.0,1979,2470,4,False,660
Basel,Kleinbasel,81,3.0,2006,2060,4,False,722
Basel,St. Johann,50,1.5,1966,1660,8,True,484
Winterthur,Wülflingen,66,3.0,1970,1330,6,True,1026
Genf,Champel,83,3.0,1975,2560,7,True,299
