canton,year,population,tax_revenue,gdp_per_capita,cantonal_expenditure
AG,2014,684055,5571383000,70100,5638417000
AG,2015,691083,5770197000,71200,5557402000
AG,2016,691031,5865661000,72200,6007854000
AG,2017,698124,5968322000,74000,6097032000
AG,2018,700017,6106850000,74900,5943976000
AG,2019,704321,6409419000,76300,6608033000
AG,2020,706383,6581165000,79000,6633916000
AG,2021,710639,6654690000,79300,7155319000
AG,2022,714027,6859967000,82400,7033014000
AG,2023,718170,7023412000,81900,6868087000
AI,2014,14100,88437000,57400,92090000
AI,2015,16602,106429000,58600,111417000
AI,2016,14295,92706000,60300,89831000
AI,2017,16331,109142000,61200,107841000
AI,2018,17071,116239000,62800,111978000
AI,2019,15176,105061000,62900,98666000
AI,2020,16396,117917000,64200,112566000
AI,2021,16272,119387000,67000,119858000
AI,2022,15549,114676000,66600,109676000
AI,2023,15218,114308000,68600,110180000
AR,2014,53194,395430000,62300,385385000
AR,2015,55158,425511000,62700,456882000
AR,2016,54582,431077000,65400,426627000
AR,2017,55255,448099000,65800,470196000
AR,2018,54753,448230000,67500,464798000
AR,2019,53954,455847000,69700,425700000
AR,2020,56687,481730000,70200,490234000
AR,2021,54956,474439000,72400,450287000
AR,2022,54568,490187000,72600,520015000
AR,2023,56805,514150000,73200,551009000
BE,2014,1005096,7237684000,65500,6993789000
BE,2015,1007855,7477200000,66600,7211578000
BE,2016,1015337,7742075000,68700,7382232000
BE,2017,1019120,8076801000,70700,8217830000
BE,2018,1023995,8252316000,71000,8093153000
BE,2019,1032526,8485199000,73400,8735837000
BE,2020,1037197,8738337000,74000,8084150000
BE,2021,1040346,8837104000,75400,9463350000
BE,2022,1047847,9097843000,77800,8945919000
BE,2023,1053258,9364739000,78300,8985096000
BL,2014,281247,2591076000,74400,2696160000
BL,2015,284614,2760772000,76200,2870105000
BL,2016,284860,2800815000,77300,2675079000
BL,2017,285893,2831239000,79200,2912390000
BL,2018,287242,2920779000,81200,2746760000
BL,2019,289589,2999730000,82600,3030635000
BL,2020,288683,3104802000,83500,3085775000
BL,2021,290251,3166906000,85300,3079168000
BL,2022,294570,3281194000,88400,3455451000
BL,2023,294009,3318071000,88000,3338998000
BS,2014,191028,2653292000,120100,2844346000
BS,2015,192920,2714992000,123200,2717068000
BS,2016,193673,2785248000,126500,2893831000
BS,2017,193246,2821292000,126300,2883433000
BS,2018,195407,2938635000,130500,2832655000
BS,2019,193650,2958608000,131500,2873263000
BS,2020,196498,3056145000,133900,3150983000
