month,product,region,revenue_chf,new_customers,churned_customers,active_customers
2023-01,Atlas,APAC,104000,2,1,35
2023-01,Atlas,Americas,254000,6,2,85
2023-01,Atlas,Europe,187000,5,2,62
2023-01,Beacon,APAC,115000,2,1,38
2023-01,Beacon,Americas,138000,2,2,46
2023-01,Beacon,Europe,234000,6,3,78
2023-01,Edge,APAC,215000,6,2,72
2023-01,Edge,Americas,393000,7,3,131
2023-01,Edge,Europe,414000,8,3,138
2023-01,Forge,APAC,62000,1,0,21
2023-01,Forge,Americas,85000,1,1,28
2023-01,Forge,Europe,99000,3,1,33
2023-01,Pulse,APAC,35000,2,1,20
2023-01,Pulse,Americas,48000,1,1,20
2023-01,Pulse,Europe,106000,3,2,35
2023-01,Vault,APAC,163000,3,1,54
2023-01,Vault,Americas,259000,5,2,86
2023-01,Vault,Europe,414000,9,4,138
2023-02,Atlas,APAC,113000,2,1,38
2023-02,Atlas,Americas,255000,6,2,85
2023-02,Atlas,Europe,203000,4,2,68
2023-02,Beacon,APAC,122000,2,2,41
2023-02,Beacon,Americas,150000,3,3,50
2023-02,Beacon,Europe,213000,5,3,71
2023-02,Edge,APAC,204000,6,2,68
2023-02,Edge,Americas,404000,7,3,135
2023-02,Edge,Europe,409000,11,3,136
2023-02,Forge,APAC,70000,2,0,23
2023-02,Forge,Americas,93000,2,1,31
2023-02,Forge,Europe,112000,2,1,37
2023-02,Pulse,APAC,35000,1,1,20
2023-02,Pulse,Americas,46000,1,1,20
2023-02,Pulse,Europe,96000,2,2,32
2023-02,Vault,APAC,160000,4,1,53
2023-02,Vault,Americas,248000,4,2,83
2023-02,Vault,Europe,412000,7,4,137
2023-03,Atlas,APAC,128000,2,1,43
2023-03,Atlas,Americas,263000,7,2,88
2023-03,Atlas,Europe,204000,6,2,68
2023-03,Beacon,APAC,128000,3,1,43
2023-03,Beacon,Americas,148000,2,2,49
2023-03,Beacon,Europe,244000,3,2,81
2023-03,Edge,APAC,224000,4,2,75
2023-03,Edge,Americas,460000,12,5,153
2023-03,Edge,Europe,447000,11,4,149
2023-03,Forge,APAC,68000,1,1,23
2023-03,Forge,Americas,101000,2,1,34
2023-03,Forge,Europe,105000,3,1,35
2023-03,Pulse,APAC,38000,1,1,20
2023-03,Pulse,Americas,49000,1,1,20
2023-03,Pulse,Europe,101000,2,1,34
2023-03,Vault,APAC,170000,4,1,57
2023-03,Vault,Americas,272000,5,2,91
2023-03,Vault,Europe,414000,6,3,138
2023-04,Atlas,APAC,131000,3,1,44
2023-04,Atlas,Americas,287000,4,2,96
2023-04,Atlas,Europe,214000,6,1,71
2023-04,Beacon,APAC,122000,2,1,41
2023-04,Beacon,Americas,171000,3,2,57
2023-04,Beacon,Europe,221000,4,3,74
2023-04,Edge,APAC,212000,4,2,71
2023-04,Edge,Americas,487000,8,5,162
2023-04,Edge,Europe,494000,11,4,165
2023-04,Forge,APAC,76000,1,1,25
2023-04,Forge,Americas,99000,2,1,33
2023-04,Forge,Europe,107000,2,1,36
2023-04,Pulse,APAC,40000,1,1,20
2023-04,Pulse,Americas,51000,1,1,20
2023-04,Pulse,Europe,105000,2,2,35
2023-04,Vault,APAC,168000,3,1,56
2023-04,Vault,Americas,264000,6,2,88
2023-04,Vault,Europe,433000,10,3,144
2023-05,Atlas,APAC,127000,3,1,42
2023-05,Atlas,Americas,276000,4,2,92
2023-05,Atlas,Europe,208000,5,1,69
2023-05,Beacon,APAC,144000,3,2,48
2023-05,Beacon,Americas,167000,3,2,56
2023-05,Beacon,Europe,237000,5,4,79
2023-05,Edge,APAC,243000,4,2,81
2023-05,Edge,Americas,445000,7,3,148
2023-05,Edge,Europe,477000,9,5,159
2023-05,Forge,APAC,76000,2,1,25
2023-05,Forge,Americas,102000,2,1,34
2023-05,Forge,Europe,112000,2,1,37
2023-05,Pulse,APAC,43000,1,1,20
2023-05,Pulse,Americas,49000,1,1,20
2023-05,Pulse,Europe,113000,3,2,38
2023-05,Vault,APAC,170000,3,1,57
2023-05,Vault,Americas,289000,6,2,96
2023-05,Vault,Europe,454000,10,4,151
2023-06,Atlas,APAC,121000,2,1,40
2023-06,Atlas,Americas,301000,8,2,100
2023-06,Atlas,Europe,234000,5,2,78
2023-06,Beacon,APAC,130000,3,2,43
2023-06,Beacon,Americas,156000,4,2,52
2023-06,Beacon,Europe,237000,4,4,79
2023-06,Edge,APAC,235000,4,2,78
2023-06,Edge,Americas,481000,8,3,160
2023-06,Edge,Europe,465000,10,4,155
2023-06,Forge,APAC,78000,1,1,26
2023-06,Forge,Americas,98000,2,1,33
2023-06,Forge,Europe,113000,2,1,38
2023-06,Pulse,APAC,39000,2,1,20
2023-06,Pulse,Americas,53000,1,1,20
2023-06,Pulse,Europe,117000,2,2,39
2023-06,Vault,APAC,198000,3,2,66
2023-06,Vault,Americas,288000,4,3,96
2023-06,Vault,Europe,487000,8,3,162
2023-07,Atlas,APAC,121000,2,1,40
2023-07,Atlas,Americas,249000,6,2,83
