route,service_type,cause,start_time,station,delay_min,weather,year
Bern-Brig,IC,Infrastructure,2022-01-02 09:21:00,Bern,50,rain,2022
Bern-Brig,IC,Operations,2022-01-02 18:38:00,Bern,25,rain,2022
S5 Bern,S,Operations,2022-01-02 20:51:00,Burgdorf,3,clear,2022
Bern-Biel,IR,Rolling stock,2022-01-03 06:52:00,Lyss,2,clear,2022
S1 Lausanne,S,Operations,2022-01-03 09:38:00,Yverdon,2,clear,2022
Zürich-Genève,IC,Operations,2022-01-03 20:55:00,Bern,18,clear,2022
Genève-Lausanne,IC,Infrastructure,2022-01-05 20:50:00,Lausanne,2,fog,2022
Zürich-Schaffhausen,IR,Connection wait,2022-01-06 08:04:00,Bülach,7,clear,2022
Zürich-Chur,IC,Rolling stock,2022-01-07 22:18:00,Sargans,3,clear,2022
Zürich-Bern,IC,External,2022-01-08 05:47:00,Bern,25,rain,2022
Olten-Zofingen,RE,Infrastructure,2022-01-08 11:05:00,Zofingen,17,fog,2022
S1 Lausanne,S,External,2022-01-08 18:38:00,Lausanne,11,snow,2022
Olten-Zofingen,RE,Rolling stock,2022-01-08 22:15:00,Olten,11,clear,2022
Zürich-Schaffhausen,IR,Rolling stock,2022-01-10 16:43:00,Bülach,3,clear,2022
Genève-Lausanne,IC,Infrastructure,2022-01-11 11:59:00,Genève,5,snow,2022
Bern-Belp,RE,Boarding,2022-01-12 08:56:00,Bern,5,clear,2022
S2 Zürich,S,Operations,2022-01-12 17:04:00,Effretikon,2,clear,2022
Bern-Brig,IC,Connection wait,2022-01-12 22:46:00,Spiez,7,clear,2022
Basel-Olten,IC,Operations,2022-01-13 07:31:00,Basel SBB,11,clear,2022
Olten-Zofingen,RE,Boarding,2022-01-13 07:59:00,Olten,2,clear,2022
Zürich-Genève,IC,Rolling stock,2022-01-13 17:00:00,Zürich HB,4,clear,2022
S1 Lausanne,S,Infrastructure,2022-01-17 05:15:00,Yverdon,2,clear,2022
Zürich-Bern,IC,External,2022-01-17 13:48:00,Bern,27,rain,2022
Basel-Olten,IC,Rolling stock,2022-01-20 09:13:00,Olten,2,clear,2022
Zürich-Chur,IC,Rolling stock,2022-01-20 16:41:00,Zürich HB,22,clear,2022
Zürich-Schaffhausen,IR,Operations,2022-01-21 17:29:00,Schaffhausen,10,clear,2022
Bern-Brig,IC,External,2022-01-21 21:20:00,Spiez,3,clear,2022
Basel-Olten,IC,Infrastructure,2022-01-21 23:04:00,Basel SBB,20,rain,2022
Basel-Olten,IC,Connection wait,2022-01-22 14:44:00,Olten,6,clear,2022
Basel-Lausanne,IC,External,2022-01-23 07:48:00,Bern,9,snow,2022
Lugano-Locarno,RE,External,2022-01-23 18:24:00,Locarno,5,snow,2022
Zürich-Chur,IC,External,2022-01-23 22:40:00,Sargans,10,rain,2022
Basel-Olten,IC,External,2022-01-25 15:13:00,Liestal,15,clear,2022
Zürich-Genève,IC,Rolling stock,2022-01-25 23:20:00,Genève,2,clear,2022
Zürich-Luzern,IC,Connection wait,2022-01-29 10:54:00,Zug,2,clear,2022
Genève-Lausanne,IC,Rolling stock,2022-01-29 14:22:00,Nyon,4,rain,2022
S5 Bern,S,Boarding,2022-01-31 15:13:00,Bern,4,clear,2022
Basel-Lausanne,IC,Rolling stock,2022-01-31 15:58:00,Lausanne,6,clear,2022
S2 Zürich,S,Operations,2022-01-31 18:01:00,Zürich HB,11,clear,2022
Zürich-Bern,IC,Boarding,2022-02-01 03:41:00,Bern,5,rain,2022
Zürich-Schaffhausen,IR,Infrastructure,2022-02-01 10:33:00,Bülach,11,clear,2022
Olten-Zofingen,RE,Operations,2022-02-02 09:03:00,Zofingen,51,snow,2022
Zürich-Bern,IC,Connection wait,2022-02-02 19:03:00,Olten,2,fog,2022
Basel-Olten,IC,Infrastructure,2022-02-02 21:40:00,Basel SBB,7,clear,2022
St. Gallen-Zürich,IR,Infrastructure,2022-02-02 23:17:00,Zürich HB,18,rain,2022
Bern-Biel,IR,External,2022-02-03 11:17:00,Biel/Bienne,23,clear,2022
Zürich-Genève,IC,Operations,2022-02-03 20:48:00,Genève,5,clear,2022
Bern-Biel,IR,Rolling stock,2022-02-03 22:33:00,Biel/Bienne,4,clear,2022
Bern-Belp,RE,Connection wait,2022-02-04 07:27:00,Bern,3,clear,2022
S6 Basel,S,Operations,2022-02-04 20:20:00,Pratteln,23,clear,2022
Zürich-Schaffhausen,IR,Infrastructure,2022-02-04 23:28:00,Schaffhausen,2,clear,2022
Bern-Biel,IR,Operations,2022-02-05 16:44:00,Lyss,5,clear,2022
Zürich-Schaffhausen,IR,Boarding,2022-02-06 10:52:00,Bülach,3,clear,2022
Zürich-Schaffhausen,IR,Rolling stock,2022-02-07 16:06:00,Schaffhausen,2,rain,2022
Bern-Belp,RE,External,2022-02-07 19:11:00,Bern,2,clear,2022
S5 Bern,S,Boarding,2022-02-08 17:16:00,Burgdorf,4,clear,2022
Bern-Belp,RE,External,2022-02-10 22:21:00,Bern,3,snow,2022
Zürich-Genève,IC,External,2022-02-11 11:56:00,Bern,2,fog,2022
Olten-Zofingen,RE,External,2022-02-13 04:08:00,Olten,12,clear,2022
St. Gallen-Zürich,IR,Boarding,2022-02-13 07:47:00,Zürich HB,2,clear,2022
Zürich-Genève,IC,Rolling stock,2022-02-13 15:02:00,Zürich HB,2,clear,2022
Bern-Brig,IC,Connection wait,2022-02-13 20:29:00,Bern,6,clear,2022
Zürich-Chur,IC,External,2022-02-13 22:01:00,Zürich HB,4,clear,2022
Bern-Brig,IC,Infrastructure,2022-02-14 05:30:00,Bern,3,clear,2022
Olten-Zofingen,RE,Infrastructure,2022-02-14 12:47:00,Zofingen,7,fog,2022
Zürich-Schaffhausen,IR,External,2022-02-15 09:11:00,Schaffhausen,2,clear,2022
Zürich-Bern,IC,External,2022-02-15 19:05:00,Zürich HB,11,clear,2022
Basel-Lausanne,IC,Infrastructure,2022-02-16 05:03:00,Bern,17,clear,2022
Zürich-Chur,IC,External,2022-02-16 08:35:00,Chur,2,clear,2022
Bern-Belp,RE,External,2022-02-16 09:04:00,Bern,10,clear,2022
S6 Basel,S,Operations,2022-02-18 05:58:00,Pratteln,17,clear,2022
Genève-Lausanne,IC,External,2022-02-18 18:47:00,Nyon,2,clear,2022
Basel-Lausanne,IC,Infrastructure,2022-02-18 21:23:00,Bern,6,fog,2022
Olten-Zofingen,RE,Rolling stock,2022-02-19 22:47:00,Olten,2,clear,2022
Bern-Brig,IC,Rolling stock,2022-02-20 21:37:00,Spiez,2,clear,2022
Zürich-Chur,IC,External,2022-02-21 13:12:00,Sargans,18,clear,2022
Basel-Lausanne,IC,Operations,2022-02-21 22:39:00,Basel SBB,2,clear,2022
Zürich-Bern,IC,Infrastructure,2022-02-21 22:41:00,Olten,2,clear,2022
St. Gallen-Zürich,IR,Boarding,2022-02-22 06:30:00,Winterthur,2,clear,2022
Zürich-Luzern,IC,External,2022-02-23 05:11:00,Zürich HB,14,rain,2022
Zürich-Bern,IC,Rolling stock,2022-02-23 19:56:00,Olten,11,clear,2022
S1 Lausanne,S,Rolling stock,2022-02-24 11:29:00,Yverdon,14,clear,2022
Zürich-Schaffhausen,IR,Connection wait,2022-02-25 14:04:00,Zürich HB,3,clear,2022
Bern-Belp,RE,External,2022-02-25 17:27:00,Belp,8,rain,2022
S2 Zürich,S,Connection wait,2022-02-25 22:31:00,Effretikon,4,clear,2022
Zürich-Luzern,IC,External,2022-02-26 19:19:00,Luzern,20,fog,2022
Basel-Olten,IC,Rolling stock,2022-02-28 07:32:00,Basel SBB,2,rain,2022
S1 Lausanne,S,Infrastructure,2022-02-28 10:55:00,Yverdon,7,clear,2022
S5 Bern,S,Operations,2022-02-28 18:03:00,Burgdorf,10,clear,2022
Zürich-Chur,IC,Rolling stock,2022-03-01 05:39:00,Sargans,14,snow,2022
Zürich-Schaffhausen,IR,Connection wait,2022-03-02 08:14:00,Bülach,12,clear,2022
Olten-Zofingen,RE,External,2022-03-02 14:59:00,Zofingen,2,clear,2022
Lausanne-Brig,IR,Infrastructure,2022-03-02 15:48:00,Sion,40,rain,2022
Lausanne-Brig,IR,Infrastructure,2022-03-03 18:30:00,Brig,9,clear,2022
St. Gallen-Zürich,IR,External,2022-03-05 07:46:00,Zürich HB,20,clear,2022
Bern-Biel,IR,Infrastructure,2022-03-05 14:56:00,Bern,5,clear,2022
S5 Bern,S,Infrastructure,2022-03-06 14:48:00,Burgdorf,16,rain,2022
Olten-Zofingen,RE,Connection wait,2022-03-06 20:02:00,Zofingen,26,clear,2022
Zürich-Schaffhausen,IR,External,2022-03-08 06:46:00,Bülach,5,fog,2022
Basel-Olten,IC,Infrastructure,2022-03-09 05:28:00,Liestal,14,clear,2022
Zürich-Chur,IC,External,2022-03-09 16:02:00,Zürich HB,3,clear,2022
Bern-Belp,RE,Infrastructure,2022-03-09 16:40:00,Belp,10,clear,2022
S5 Bern,S,Boarding,2022-03-10 11:39:00,Bern,10,clear,2022
S1 Lausanne,S,Infrastructure,2022-03-10 22:14:00,Yverdon,6,snow,2022
Zürich-Luzern,IC,Infrastructure,2022-03-11 00:17:00,Zug,11,clear,2022
Genève-Lausanne,IC,External,2022-03-11 04:04:00,Nyon,67,fog,2022
Bern-Belp,RE,Boarding,2022-03-11 08:56:00,Bern,9,clear,2022
Bern-Brig,IC,External,2022-03-11 18:31:00,Brig,13,clear,2022
Lausanne-Brig,IR,Operations,2022-03-12 00:59:00,Lausanne,22,clear,2022
Bern-Belp,RE,Operations,2022-03-12 01:59:00,Belp,9,clear,2022
S5 Bern,S,Boarding,2022-03-12 12:25:00,Burgdorf,3,clear,2022
Zürich-Genève,IC,Infrastructure,2022-03-12 21:04:00,Genève,24,clear,2022
Genève-Lausanne,IC,Rolling stock,2022-03-12 23:08:00,Lausanne,8,fog,2022
Lausanne-Brig,IR,Infrastructure,2022-03-13 19:06:00,Sion,36,clear,2022
Genève-Lausanne,IC,External,2022-03-13 23:52:00,Nyon,2,snow,2022
Zürich-Bern,IC,Boarding,2022-03-14 11:45:00,Zürich HB,2,clear,2022
Basel-Lausanne,IC,Infrastructure,2022-03-14 18:01:00,Bern,2,rain,2022
S2 Zürich,S,Infrastructure,2022-03-14 20:55:00,Effretikon,69,clear,2022
Bern-Brig,IC,Connection wait,2022-03-16 12:23:00,Brig,7,clear,2022
Zürich-Bern,IC,Rolling stock,2022-03-16 18:09:00,Zürich HB,3,clear,2022
S5 Bern,S,Infrastructure,2022-03-17 17:29:00,Bern,19,clear,2022
Genève-Lausanne,IC,External,2022-03-19 12:24:00,Genève,26,clear,2022
Bern-Belp,RE,Operations,2022-03-19 16:19:00,Bern,9,clear,2022
Zürich-Chur,IC,Infrastructure,2022-03-20 14:34:00,Chur,11,clear,2022
Olten-Zofingen,RE,External,2022-03-20 20:29:00,Olten,2,snow,2022
Zürich-Bern,IC,Rolling stock,2022-03-21 09:08:00,Olten,2,clear,2022
Zürich-Luzern,IC,Operations,2022-03-21 21:28:00,Zug,11,snow,2022
Bern-Brig,IC,Infrastructure,2022-03-22 05:29:00,Brig,21,snow,2022
St. Gallen-Zürich,IR,Infrastructure,2022-03-23 17:28:00,Zürich HB,7,rain,2022
Zürich-Chur,IC,Operations,2022-03-24 09:11:00,Chur,2,clear,2022
Bern-Biel,IR,Rolling stock,2022-03-24 14:22:00,Biel/Bienne,14,clear,2022
S1 Lausanne,S,Boarding,2022-03-24 19:53:00,Yverdon,3,clear,2022
Bern-Belp,RE,Infrastructure,2022-03-25 20:38:00,Belp,8,rain,2022
Basel-Lausanne,IC,External,2022-03-27 09:56:00,Bern,20,rain,2022
Zürich-Luzern,IC,Infrastructure,2022-03-28 15:02:00,Zürich HB,2,fog,2022
Zürich-Genève,IC,Connection wait,2022-03-29 22:31:00,Genève,12,rain,2022
Zürich-Genève,IC,External,2022-03-29 23:01:00,Lausanne,2,rain,2022
Basel-Lausanne,IC,Rolling stock,2022-03-30 10:57:00,Basel SBB,18,clear,2022
S2 Zürich,S,Infrastructure,2022-03-30 19:41:00,Effretikon,56,rain,2022
Basel-Olten,IC,Operations,2022-03-31 18:09:00,Liestal,2,clear,2022
S5 Bern,S,External,2022-04-01 04:43:00,Burgdorf,19,snow,2022
S5 Bern,S,Boarding,2022-04-01 07:42:00,Bern,2,clear,2022
Zürich-Bern,IC,Boarding,2022-04-01 20:10:00,Zürich HB,2,clear,2022
Zürich-Chur,IC,Infrastructure,2022-04-02 12:40:00,Zürich HB,6,snow,2022
Lausanne-Brig,IR,Operations,2022-04-02 22:16:00,Lausanne,4,clear,2022
Bern-Biel,IR,Connection wait,2022-04-03 17:29:00,Lyss,4,clear,2022
Zürich-Bern,IC,Infrastructure,2022-04-04 16:49:00,Olten,22,clear,2022
Lausanne-Brig,IR,Connection wait,2022-04-05 12:20:00,Lausanne,2,rain,2022
