date,ticker,name,sector,close,volume,market_cap_usd
2020-01-02,AAPL,Apple,Technology,75.0,29761253,1078860000000
2020-01-02,ADBE,Adobe,Technology,332.0,2403294,164620000000
2020-01-02,AMD,AMD,Technology,47.0,27880362,62350000000
2020-01-02,AMZN,Amazon,Cons. Discretionary,94.0,69887043,983110000000
2020-01-02,AVGO,Broadcom,Technology,318.0,20184508,147480000000
2020-01-02,CAT,Caterpillar,Industrials,149.0,3121235,46990000000
2020-01-02,CRM,Salesforce,Technology,167.0,5710311,159020000000
2020-01-02,DIS,Walt Disney,Communication Svcs.,146.0,9045549,269340000000
2020-01-02,GE,GE Aerospace,Industrials,52.0,6620306,56270000000
2020-01-02,GOOGL,Alphabet,Communication Svcs.,68.0,39085394,886190000000
2020-01-02,HD,Home Depot,Cons. Discretionary,220.0,3792569,207580000000
2020-01-02,HON,Honeywell,Industrials,178.0,2959335,136590000000
2020-01-02,IBM,IBM,Technology,135.0,5362168,127510000000
2020-01-02,INTC,Intel,Technology,60.0,38815535,183500000000
2020-01-02,JPM,JPMorgan Chase,Financials,140.0,10810790,383600000000
2020-01-02,MA,Mastercard,Financials,299.0,2319213,309600000000
2020-01-02,MCD,McDonald's,Cons. Discretionary,198.0,2337478,141530000000
2020-01-02,META,Meta Platforms,Communication Svcs.,209.0,21021146,521130000000
2020-01-02,MSFT,Microsoft,Technology,158.0,28531166,1100710000000
2020-01-02,NFLX,Netflix,Communication Svcs.,327.0,3924554,170930000000
2020-01-02,NVDA,NVIDIA,Technology,60.0,421747886,138790000000
2020-01-02,ORCL,Oracle,Technology,53.0,12133233,154070000000
2020-01-02,QCOM,Qualcomm,Technology,90.0,11792231,96290000000
2020-01-02,TSLA,Tesla,Cons. Discretionary,86.0,123836051,93450000000
2020-01-02,V,Visa,Financials,188.0,7085829,356340000000
2020-01-03,AAPL,Apple,Technology,73.5,58591210,1057310000000
2020-01-03,ADBE,Adobe,Technology,324.42,3891945,160860000000
2020-01-03,AMD,AMD,Technology,49.28,38959167,65380000000
2020-01-03,AMZN,Amazon,Cons. Discretionary,91.2,37099828,953800000000
2020-01-03,AVGO,Broadcom,Technology,334.95,18189047,155350000000
2020-01-03,CAT,Caterpillar,Industrials,146.59,2069928,46230000000
2020-01-03,CRM,Salesforce,Technology,166.47,5318759,158520000000
2020-01-03,DIS,Walt Disney,Communication Svcs.,149.6,12465634,275980000000
2020-01-03,GE,GE Aerospace,Industrials,51.56,4288350,55800000000
2020-01-03,GOOGL,Alphabet,Communication Svcs.,68.81,27493217,896700000000
2020-01-03,HD,Home Depot,Cons. Discretionary,224.4,2431378,211740000000
2020-01-03,HON,Honeywell,Industrials,180.37,5687929,138410000000
2020-01-03,IBM,IBM,Technology,134.52,2877079,127050000000
2020-01-03,INTC,Intel,Technology,59.15,43771661,180910000000
2020-01-03,JPM,JPMorgan Chase,Financials,141.0,11247460,386330000000
2020-01-03,MA,Mastercard,Financials,300.27,2538723,310910000000
2020-01-03,MCD,McDonald's,Cons. Discretionary,196.54,2709582,140480000000
2020-01-03,META,Meta Platforms,Communication Svcs.,203.07,24427328,506340000000
2020-01-03,MSFT,Microsoft,Technology,158.16,25264843,1101830000000
2020-01-03,NFLX,Netflix,Communication Svcs.,334.68,8164196,174950000000
2020-01-03,NVDA,NVIDIA,Technology,63.05,398334254,145840000000
2020-01-03,ORCL,Oracle,Technology,53.45,7692153,155390000000
2020-01-03,QCOM,Qualcomm,Technology,91.88,7209408,98300000000
2020-01-03,TSLA,Tesla,Cons. Discretionary,87.16,67251120,94710000000
2020-01-03,V,Visa,Financials,189.73,5381866,359610000000
2020-01-06,AAPL,Apple,Technology,73.94,47838323,1063640000000
2020-01-06,ADBE,Adobe,Technology,326.47,2524948,161880000000
2020-01-06,AMD,AMD,Technology,47.76,44445956,63360000000
2020-01-06,AMZN,Amazon,Cons. Discretionary,94.08,34351258,983980000000
2020-01-06,AVGO,Broadcom,Technology,335.27,23256971,155500000000
2020-01-06,CAT,Caterpillar,Industrials,146.95,1684752,46350000000
2020-01-06,CRM,Salesforce,Technology,166.07,3534007,158130000000
2020-01-06,DIS,Walt Disney,Communication Svcs.,150.69,10361507,277980000000
2020-01-06,GE,GE Aerospace,Industrials,50.76,4098438,54930000000
2020-01-06,GOOGL,Alphabet,Communication Svcs.,67.71,33798598,882420000000
2020-01-06,HD,Home Depot,Cons. Discretionary,226.61,3423003,213820000000
2020-01-06,HON,Honeywell,Industrials,178.15,2128875,136700000000
2020-01-06,IBM,IBM,Technology,133.85,4504989,126420000000
2020-01-06,INTC,Intel,Technology,56.91,37695622,174060000000
2020-01-06,JPM,JPMorgan Chase,Financials,139.08,13138997,381070000000
2020-01-06,MA,Mastercard,Financials,306.59,2302758,317460000000
2020-01-06,MCD,McDonald's,Cons. Discretionary,194.99,2431954,139380000000
2020-01-06,META,Meta Platforms,Communication Svcs.,204.07,29084739,508840000000
2020-01-06,MSFT,Microsoft,Technology,160.45,33123721,1117790000000
2020-01-06,NFLX,Netflix,Communication Svcs.,334.98,5952186,175110000000
2020-01-06,NVDA,NVIDIA,Technology,64.67,638177658,149600000000
2020-01-06,ORCL,Oracle,Technology,54.96,14026447,159770000000
2020-01-06,QCOM,Qualcomm,Technology,91.54,12822337,97940000000
2020-01-06,TSLA,Tesla,Cons. Discretionary,88.96,97958132,96670000000
2020-01-06,V,Visa,Financials,192.19,6616649,364280000000
2020-01-07,AAPL,Apple,Technology,73.37,73959241,1055380000000
2020-01-07,ADBE,Adobe,Technology,332.49,3596683,164860000000
2020-01-07,AMD,AMD,Technology,45.45,41812017,60300000000
2020-01-07,AMZN,Amazon,Cons. Discretionary,97.21,53414733,1016650000000
2020-01-07,AVGO,Broadcom,Technology,321.43,26346283,149070000000
2020-01-07,CAT,Caterpillar,Industrials,144.21,1943143,45480000000
2020-01-07,CRM,Salesforce,Technology,168.01,5572798,159980000000
2020-01-07,DIS,Walt Disney,Communication Svcs.,145.05,10465803,267590000000
2020-01-07,GE,GE Aerospace,Industrials,49.5,4862541,53570000000
2020-01-07,GOOGL,Alphabet,Communication Svcs.,66.49,14779649,866510000000
2020-01-07,HD,Home Depot,Cons. Discretionary,225.44,3992159,212710000000
2020-01-07,HON,Honeywell,Industrials,183.18,2243557,140570000000
2020-01-07,IBM,IBM,Technology,133.97,6513355,126540000000
2020-01-07,INTC,Intel,Technology,57.76,44124568,176650000000
2020-01-07,JPM,JPMorgan Chase,Financials,140.21,9422600,384190000000
2020-01-07,MA,Mastercard,Financials,307.57,2280189,318480000000
2020-01-07,MCD,McDonald's,Cons. Discretionary,193.71,3778120,138460000000
2020-01-07,META,Meta Platforms,Communication Svcs.,205.76,18804115,513050000000
2020-01-07,MSFT,Microsoft,Technology,164.7,21426513,1147360000000
2020-01-07,NFLX,Netflix,Communication Svcs.,339.61,4154325,177530000000
2020-01-07,NVDA,NVIDIA,Technology,68.17,470509772,157700000000
2020-01-07,ORCL,Oracle,Technology,55.42,12213070,161100000000
2020-01-07,QCOM,Qualcomm,Technology,91.49,11193192,97880000000
2020-01-07,TSLA,Tesla,Cons. Discretionary,86.15,104717680,93610000000
2020-01-07,V,Visa,Financials,192.54,4462790,364950000000
2020-01-08,AAPL,Apple,Technology,75.54,50821159,1086570000000
2020-01-08,ADBE,Adobe,Technology,336.71,2473772,166950000000
2020-01-08,AMD,AMD,Technology,45.54,45444648,60420000000
2020-01-08,AMZN,Amazon,Cons. Discretionary,97.12,51023543,1015720000000
2020-01-08,AVGO,Broadcom,Technology,314.31,27133507,145770000000
2020-01-08,CAT,Caterpillar,Industrials,144.54,2846630,45590000000
2020-01-08,CRM,Salesforce,Technology,174.33,5046548,166000000000
2020-01-08,DIS,Walt Disney,Communication Svcs.,145.15,10341784,267770000000
2020-01-08,GE,GE Aerospace,Industrials,50.08,5878517,54190000000
2020-01-08,GOOGL,Alphabet,Communication Svcs.,64.78,23103226,844160000000
2020-01-08,HD,Home Depot,Cons. Discretionary,230.65,4315512,217630000000
2020-01-08,HON,Honeywell,Industrials,181.5,3547566,139280000000
2020-01-08,IBM,IBM,Technology,135.88,4710742,128340000000
2020-01-08,INTC,Intel,Technology,56.05,40569920,171410000000
2020-01-08,JPM,JPMorgan Chase,Financials,142.12,11608983,389400000000
2020-01-08,MA,Mastercard,Financials,317.19,2617507,328440000000
2020-01-08,MCD,McDonald's,Cons. Discretionary,195.86,1475560,139990000000
2020-01-08,META,Meta Platforms,Communication Svcs.,204.64,19279554,510260000000
2020-01-08,MSFT,Microsoft,Technology,162.55,19789176,1132420000000
2020-01-08,NFLX,Netflix,Communication Svcs.,340.4,4238403,177940000000
2020-01-08,NVDA,NVIDIA,Technology,69.77,488017787,161390000000
2020-01-08,ORCL,Oracle,Technology,57.5,9698964,167150000000
2020-01-08,QCOM,Qualcomm,Technology,93.48,8191405,100010000000
2020-01-08,TSLA,Tesla,Cons. Discretionary,85.08,92884312,92460000000
2020-01-08,V,Visa,Financials,193.12,6468560,366050000000
2020-01-09,AAPL,Apple,Technology,74.28,39386563,1068470000000
2020-01-09,ADBE,Adobe,Technology,328.05,3526163,162660000000
2020-01-09,AMD,AMD,Technology,46.16,48806902,61240000000
2020-01-09,AMZN,Amazon,Cons. Discretionary,100.6,50594833,1052100000000
2020-01-09,AVGO,Broadcom,Technology,312.49,16736080,144930000000
2020-01-09,CAT,Caterpillar,Industrials,148.33,4463290,46780000000
2020-01-09,CRM,Salesforce,Technology,173.55,4922408,165260000000
2020-01-09,DIS,Walt Disney,Communication Svcs.,145.78,8260876,268940000000
2020-01-09,GE,GE Aerospace,Industrials,50.04,6081419,54150000000
2020-01-09,GOOGL,Alphabet,Communication Svcs.,64.6,27664098,841860000000
2020-01-09,HD,Home Depot,Cons. Discretionary,230.14,3091584,217150000000
2020-01-09,HON,Honeywell,Industrials,180.89,3016887,138810000000
2020-01-09,IBM,IBM,Technology,133.54,4676512,126130000000
2020-01-09,INTC,Intel,Technology,55.31,42158585,169150000000
2020-01-09,JPM,JPMorgan Chase,Financials,140.64,5646017,385350000000
2020-01-09,MA,Mastercard,Financials,319.32,2102943,330630000000
2020-01-09,MCD,McDonald's,Cons. Discretionary,198.52,2344144,141900000000
2020-01-09,META,Meta Platforms,Communication Svcs.,201.62,20553144,502740000000
2020-01-09,MSFT,Microsoft,Technology,162.5,28576143,1132080000000
2020-01-09,NFLX,Netflix,Communication Svcs.,336.31,4510534,175800000000
2020-01-09,NVDA,NVIDIA,Technology,73.91,379819874,170980000000
2020-01-09,ORCL,Oracle,Technology,58.9,11327193,171220000000
2020-01-09,QCOM,Qualcomm,Technology,93.49,10772810,100020000000
2020-01-09,TSLA,Tesla,Cons. Discretionary,89.77,114564908,97540000000
2020-01-09,V,Visa,Financials,197.69,5180127,374710000000
2020-01-10,AAPL,Apple,Technology,75.29,63738459,1083080000000
2020-01-10,ADBE,Adobe,Technology,324.31,1654880,160810000000
2020-01-10,AMD,AMD,Technology,46.85,44817871,62160000000
2020-01-10,AMZN,Amazon,Cons. Discretionary,99.95,74106073,1045340000000
2020-01-10,AVGO,Broadcom,Technology,309.87,24265893,143720000000
2020-01-10,CAT,Caterpillar,Industrials,149.91,2210178,47280000000
2020-01-10,CRM,Salesforce,Technology,174.58,4059647,166240000000
2020-01-10,DIS,Walt Disney,Communication Svcs.,145.55,7668566,268500000000
2020-01-10,GE,GE Aerospace,Industrials,49.81,5667321,53900000000
2020-01-10,GOOGL,Alphabet,Communication Svcs.,64.72,25951977,843450000000
2020-01-10,HD,Home Depot,Cons. Discretionary,238.86,4714989,225380000000
2020-01-10,HON,Honeywell,Industrials,180.41,3571934,138440000000
2020-01-10,IBM,IBM,Technology,132.89,3882833,125520000000
2020-01-10,INTC,Intel,Technology,56.18,23231402,171810000000
2020-01-10,JPM,JPMorgan Chase,Financials,137.8,9204366,377580000000
2020-01-10,MA,Mastercard,Financials,317.16,1759262,328400000000
2020-01-10,MCD,McDonald's,Cons. Discretionary,197.71,2370287,141320000000
2020-01-10,META,Meta Platforms,Communication Svcs.,198.24,16473720,494310000000
2020-01-10,MSFT,Microsoft,Technology,163.95,20514811,1142190000000
2020-01-10,NFLX,Netflix,Communication Svcs.,339.38,4088351,177410000000
2020-01-10,NVDA,NVIDIA,Technology,71.61,341649505,165660000000
2020-01-10,ORCL,Oracle,Technology,60.09,9270872,174690000000
2020-01-10,QCOM,Qualcomm,Technology,91.85,6075576,98260000000
2020-01-10,TSLA,Tesla,Cons. Discretionary,92.7,130961233,100740000000
2020-01-10,V,Visa,Financials,197.91,6557583,375120000000
2020-01-13,AAPL,Apple,Technology,75.35,83010076,1083950000000
2020-01-13,ADBE,Adobe,Technology,334.43,3752386,165830000000
2020-01-13,AMD,AMD,Technology,46.01,68197877,61040000000
2020-01-13,AMZN,Amazon,Cons. Discretionary,98.09,33274915,1025870000000
2020-01-13,AVGO,Broadcom,Technology,302.42,33434787,140260000000
2020-01-13,CAT,Caterpillar,Industrials,148.57,2629169,46860000000
2020-01-13,CRM,Salesforce,Technology,167.92,5112503,159900000000
2020-01-13,DIS,Walt Disney,Communication Svcs.,147.16,12356072,271470000000
2020-01-13,GE,GE Aerospace,Industrials,49.59,2997939,53660000000
2020-01-13,GOOGL,Alphabet,Communication Svcs.,66.27,45953091,863580000000
2020-01-13,HD,Home Depot,Cons. Discretionary,234.29,3520303,221070000000
2020-01-13,HON,Honeywell,Industrials,184.91,2291693,141890000000
2020-01-13,IBM,IBM,Technology,133.66,5386171,126250000000
